,index,ds,week_weekday,population,temp,rain,hum,st,holiday,warning,y
0,0,2021-01-01 00:00:00,1,76279.0,-4.3,0.0,61.0,-8.6,1,not,366.0
1,1,2021-01-01 01:00:00,1,76279.0,-4.8,0.0,64.0,-8.6,1,not,486.0
2,2,2021-01-01 02:00:00,1,76279.0,-5.4,0.0,69.0,-8.6,1,not,364.0
3,3,2021-01-01 03:00:00,1,76279.0,-4.4,0.0,68.0,-8.6,1,not,356.0
4,4,2021-01-01 04:00:00,1,76279.0,-4.9,0.0,68.0,-8.6,1,not,500.0
5,5,2021-01-01 05:00:00,1,76279.0,-4.8,0.0,68.0,-8.6,1,not,328.0
6,6,2021-01-01 06:00:00,1,76279.0,-6.3,0.0,74.0,-8.6,1,not,216.0
7,7,2021-01-01 07:00:00,1,76279.0,-7.2,0.0,78.0,-8.6,1,not,546.0
8,8,2021-01-01 08:00:00,1,76279.0,-8.0,0.0,79.0,-8.6,1,not,486.0
9,9,2021-01-01 09:00:00,1,76279.0,-5.4,0.0,74.0,-8.6,1,not,220.0
10,10,2021-01-01 10:00:00,1,76279.0,-3.6,0.0,68.0,-8.6,1,not,408.0
11,11,2021-01-01 11:00:00,1,76279.0,-2.2,0.0,56.0,-8.6,1,not,558.0
12,12,2021-01-01 12:00:00,1,76279.0,-0.8,0.0,54.0,-8.6,1,not,318.0
13,13,2021-01-01 13:00:00,1,76279.0,0.2,0.0,50.0,-8.6,1,not,290.0
14,14,2021-01-01 14:00:00,1,76279.0,0.3,0.0,51.0,-8.6,1,not,506.0
15,15,2021-01-01 15:00:00,1,76279.0,0.5,0.0,54.0,-8.6,1,not,452.0
16,16,2021-01-01 16:00:00,1,76279.0,-0.7,0.0,74.0,-8.6,1,not,300.0
17,17,2021-01-01 17:00:00,1,76279.0,-1.1,0.0,83.0,-8.6,1,not,356.0
18,18,2021-01-01 18:00:00,1,76279.0,-1.4,0.3,89.0,-8.6,1,not,448.0
19,19,2021-01-01 19:00:00,1,76279.0,-1.8,0.0,91.0,-8.6,1,not,342.0
20,20,2021-01-01 20:00:00,1,76279.0,-1.8,0.0,91.0,-8.6,1,not,486.0
21,21,2021-01-01 21:00:00,1,76279.0,-1.6,0.1,90.0,-8.6,1,not,420.0
22,22,2021-01-01 22:00:00,1,76279.0,-1.7,0.0,91.0,-8.6,1,not,240.0
23,23,2021-01-01 23:00:00,1,76279.0,-2.3,0.0,92.0,-8.6,1,not,424.0
24,24,2021-01-02 00:00:00,0,76279.0,-3.1,0.0,92.0,-9.2,0,not,448.0
25,25,2021-01-02 01:00:00,0,76279.0,-2.6,0.0,91.0,-9.2,0,not,328.0
26,26,2021-01-02 02:00:00,0,76279.0,-2.5,0.0,92.0,-9.2,0,not,408.0
27,27,2021-01-02 03:00:00,0,76279.0,-2.4,0.0,91.0,-9.2,0,not,240.0
28,28,2021-01-02 04:00:00,0,76279.0,-3.7,0.0,92.0,-9.2,0,not,536.0
29,29,2021-01-02 05:00:00,0,76279.0,-4.3,0.0,92.0,-9.2,0,not,308.0
30,30,2021-01-02 06:00:00,0,76279.0,-4.3,0.0,90.0,-9.2,0,not,332.0
31,31,2021-01-02 07:00:00,0,76279.0,-4.0,0.0,85.0,-9.2,0,not,484.0
32,32,2021-01-02 08:00:00,0,76279.0,-4.4,0.0,85.0,-9.2,0,not,328.0
33,33,2021-01-02 09:00:00,0,76279.0,-3.3,0.0,81.0,-9.2,0,not,348.0
34,34,2021-01-02 10:00:00,0,76279.0,-1.1,0.0,49.0,-9.2,0,not,442.0
35,35,2021-01-02 11:00:00,0,76279.0,-0.2,0.0,38.0,-9.2,0,not,538.0
36,36,2021-01-02 12:00:00,0,76279.0,-0.2,0.0,36.0,-9.2,0,not,514.0
37,37,2021-01-02 13:00:00,0,76279.0,1.2,0.0,31.0,-9.2,0,not,254.0
38,38,2021-01-02 14:00:00,0,76279.0,1.5,0.0,25.0,-9.2,0,not,360.0
39,39,2021-01-02 15:00:00,0,76279.0,1.7,0.0,24.0,-9.2,0,not,480.0
40,40,2021-01-02 16:00:00,0,76279.0,0.6,0.0,26.0,-9.2,0,not,294.0
41,41,2021-01-02 17:00:00,0,76279.0,-0.6,0.0,29.0,-9.2,0,not,294.0
42,42,2021-01-02 18:00:00,0,76279.0,-0.7,0.0,33.0,-9.2,0,not,582.0
43,43,2021-01-02 19:00:00,0,76279.0,-1.7,0.0,37.0,-9.2,0,not,306.0
44,44,2021-01-02 20:00:00,0,76279.0,-1.6,0.0,37.0,-9.2,0,not,234.0
45,45,2021-01-02 21:00:00,0,76279.0,-2.7,0.0,40.0,-9.2,0,not,418.0
46,46,2021-01-02 22:00:00,0,76279.0,-3.0,0.0,41.0,-9.2,0,not,440.0
47,47,2021-01-02 23:00:00,0,76279.0,-5.2,0.0,51.0,-9.2,0,not,408.0
48,48,2021-01-03 00:00:00,0,76279.0,-4.8,0.0,53.0,-8.7,0,not,284.0
49,49,2021-01-03 01:00:00,0,76279.0,-4.3,0.0,53.0,-8.7,0,not,352.0
50,50,2021-01-03 02:00:00,0,76279.0,-3.1,0.0,49.0,-8.7,0,not,488.0
51,51,2021-01-03 03:00:00,0,76279.0,-2.8,0.0,49.0,-8.7,0,not,304.0
52,52,2021-01-03 04:00:00,0,76279.0,-3.0,0.0,48.0,-8.7,0,not,202.0
53,53,2021-01-03 05:00:00,0,76279.0,-3.5,0.0,49.0,-8.7,0,not,538.0
54,54,2021-01-03 06:00:00,0,76279.0,-3.8,0.0,48.0,-8.7,0,not,376.0
55,55,2021-01-03 07:00:00,0,76279.0,-4.0,0.0,44.0,-8.7,0,not,188.0
56,56,2021-01-03 08:00:00,0,76279.0,-4.5,0.0,41.0,-8.7,0,not,420.0
57,57,2021-01-03 09:00:00,0,76279.0,-3.8,0.0,42.0,-8.7,0,not,492.0
58,58,2021-01-03 10:00:00,0,76279.0,-1.6,0.0,30.0,-8.7,0,not,320.0
59,59,2021-01-03 11:00:00,0,76279.0,-0.4,0.0,32.0,-8.7,0,not,596.0
60,60,2021-01-03 12:00:00,0,76279.0,0.8,0.0,29.0,-8.7,0,not,354.0
61,61,2021-01-03 13:00:00,0,76279.0,1.3,0.0,30.0,-8.7,0,not,258.0
62,62,2021-01-03 14:00:00,0,76279.0,2.0,0.0,31.0,-8.7,0,not,352.0
63,63,2021-01-03 15:00:00,0,76279.0,2.3,0.0,33.0,-8.7,0,not,424.0
64,64,2021-01-03 16:00:00,0,76279.0,1.2,0.0,33.0,-8.7,0,not,292.0
65,65,2021-01-03 17:00:00,0,76279.0,0.2,0.0,38.0,-8.7,0,not,358.0
66,66,2021-01-03 18:00:00,0,76279.0,-0.2,0.0,42.0,-8.7,0,not,330.0
67,67,2021-01-03 19:00:00,0,76279.0,-0.7,0.0,45.0,-8.7,0,not,404.0
68,68,2021-01-03 20:00:00,0,76279.0,-1.2,0.0,49.0,-8.7,0,not,348.0
69,69,2021-01-03 21:00:00,0,76279.0,-1.4,0.0,51.0,-8.7,0,not,220.0
70,70,2021-01-03 22:00:00,0,76279.0,-3.3,0.0,60.0,-8.7,0,not,458.0
71,71,2021-01-03 23:00:00,0,76279.0,-3.2,0.0,60.0,-8.7,0,not,358.0
72,72,2021-01-04 00:00:00,1,76279.0,-3.1,0.0,60.0,-8.1,0,not,208.0
73,73,2021-01-04 01:00:00,1,76279.0,-3.2,0.0,60.0,-8.1,0,not,468.0
74,74,2021-01-04 02:00:00,1,76279.0,-3.6,0.0,62.0,-8.1,0,not,404.0
75,75,2021-01-04 03:00:00,1,76279.0,-4.3,0.0,66.0,-8.1,0,not,264.0
76,76,2021-01-04 04:00:00,1,76279.0,-6.1,0.0,73.0,-8.1,0,not,548.0
77,77,2021-01-04 05:00:00,1,76279.0,-6.6,0.0,77.0,-8.1,0,not,392.0
78,78,2021-01-04 06:00:00,1,76279.0,-6.8,0.0,79.0,-8.1,0,not,204.0
79,79,2021-01-04 07:00:00,1,76279.0,-6.8,0.0,79.0,-8.1,0,not,252.0
80,80,2021-01-04 08:00:00,1,76279.0,-6.7,0.0,79.0,-8.1,0,not,564.0
81,81,2021-01-04 09:00:00,1,76279.0,-5.1,0.0,74.0,-8.1,0,not,368.0
82,82,2021-01-04 10:00:00,1,76279.0,-2.3,0.0,58.0,-8.1,0,not,470.0
83,83,2021-01-04 11:00:00,1,76279.0,-0.6,0.0,50.0,-8.1,0,not,582.0
84,84,2021-01-04 12:00:00,1,76279.0,0.9,0.0,38.0,-8.1,0,not,338.0
85,85,2021-01-04 13:00:00,1,76279.0,2.6,0.0,25.0,-8.1,0,not,410.0
86,86,2021-01-04 14:00:00,1,76279.0,3.6,0.0,30.0,-8.1,0,not,576.0
87,87,2021-01-04 15:00:00,1,76279.0,3.3,0.0,32.0,-8.1,0,not,314.0
88,88,2021-01-04 16:00:00,1,76279.0,3.6,0.0,33.0,-8.1,0,not,346.0
89,89,2021-01-04 17:00:00,1,76279.0,2.1,0.0,37.0,-8.1,0,not,602.0
90,90,2021-01-04 18:00:00,1,76279.0,-0.3,0.0,48.0,-8.1,0,not,390.0
91,91,2021-01-04 19:00:00,1,76279.0,-1.6,0.0,55.0,-8.1,0,not,212.0
92,92,2021-01-04 20:00:00,1,76279.0,-1.9,0.0,59.0,-8.1,0,not,488.0
93,93,2021-01-04 21:00:00,1,76279.0,-2.0,0.0,60.0,-8.1,0,not,528.0
94,94,2021-01-04 22:00:00,1,76279.0,-2.1,0.0,63.0,-8.1,0,not,300.0
95,95,2021-01-04 23:00:00,1,76279.0,-2.7,0.0,67.0,-8.1,0,not,460.0
96,96,2021-01-05 00:00:00,1,76279.0,-1.9,0.0,63.0,-9.6,0,not,468.0
97,97,2021-01-05 01:00:00,1,76279.0,-1.7,0.0,62.0,-9.6,0,not,304.0
98,98,2021-01-05 02:00:00,1,76279.0,-2.0,0.0,65.0,-9.6,0,not,540.0
99,99,2021-01-05 03:00:00,1,76279.0,-1.7,0.0,64.0,-9.6,0,not,396.0
100,100,2021-01-05 04:00:00,1,76279.0,-1.6,0.0,64.0,-9.6,0,not,250.0
