,Unnamed: 0,ds,y,population,temp,rain,hum,week_weekday,week_weekend,kovo_Away,kovo_Home,kovo_No
0,0,2017-01-01 01:00:00,138.0,16738.0,-4.2,0.0,89.5,0,1,0,0,1
1,1,2017-01-01 02:00:00,237.0,16738.0,-4.0,0.0,89.7,0,1,0,0,1
2,2,2017-01-01 03:00:00,128.0,16738.0,-4.7,0.0,89.5,0,1,0,0,1
3,3,2017-01-01 04:00:00,14.0,16738.0,-5.2,0.0,89.2,0,1,0,0,1
4,4,2017-01-01 05:00:00,11.0,16738.0,-5.7,0.0,88.9,0,1,0,0,1
5,5,2017-01-01 06:00:00,10.0,16738.0,-6.0,0.0,88.4,0,1,0,0,1
6,6,2017-01-01 07:00:00,11.0,16738.0,-6.1,0.0,88.0,0,1,0,0,1
7,7,2017-01-01 08:00:00,187.0,16738.0,-5.7,0.0,88.0,0,1,0,0,1
8,8,2017-01-01 09:00:00,392.0,16738.0,-4.5,0.0,88.4,0,1,0,0,1
9,9,2017-01-01 10:00:00,114.0,16738.0,-2.6,0.0,88.1,0,1,0,0,1
10,10,2017-01-01 11:00:00,243.0,16738.0,0.3,0.0,86.3,0,1,0,0,1
11,11,2017-01-01 12:00:00,203.0,16738.0,4.7,0.0,65.3,0,1,0,0,1
12,12,2017-01-01 13:00:00,250.0,16738.0,7.6,0.0,49.7,0,1,0,0,1
13,13,2017-01-01 14:00:00,181.0,16738.0,9.4,0.0,43.7,0,1,0,0,1
14,14,2017-01-01 15:00:00,141.0,16738.0,9.9,0.0,43.3,0,1,0,0,1
15,15,2017-01-01 16:00:00,148.0,16738.0,9.4,0.0,44.2,0,1,0,0,1
16,16,2017-01-01 17:00:00,132.0,16738.0,6.3,0.0,52.2,0,1,0,0,1
17,17,2017-01-01 18:00:00,199.0,16738.0,2.9,0.0,63.6,0,1,0,0,1
18,18,2017-01-01 19:00:00,202.0,16738.0,0.3,0.0,75.3,0,1,0,0,1
19,19,2017-01-01 20:00:00,245.0,16738.0,-0.5,0.0,79.8,0,1,0,0,1
20,20,2017-01-01 21:00:00,308.0,16738.0,-1.8,0.0,84.6,0,1,0,0,1
21,21,2017-01-01 22:00:00,152.0,16738.0,-2.6,0.0,87.1,0,1,0,0,1
22,22,2017-01-01 23:00:00,197.0,16738.0,-2.8,0.0,88.7,0,1,0,0,1
23,23,2017-01-02 00:00:00,175.0,16738.0,-3.3,0.0,89.2,1,0,0,0,1
24,24,2017-01-02 01:00:00,266.0,16738.0,-3.8,0.0,89.8,1,0,0,0,1
25,25,2017-01-02 02:00:00,113.0,16738.0,-4.3,0.0,89.4,1,0,0,0,1
26,26,2017-01-02 03:00:00,51.0,16738.0,-3.5,0.0,90.1,1,0,0,0,1
27,27,2017-01-02 04:00:00,10.0,16738.0,-3.7,0.0,90.0,1,0,0,0,1
28,28,2017-01-02 05:00:00,11.0,16738.0,-3.7,0.0,89.9,1,0,0,0,1
29,29,2017-01-02 06:00:00,12.0,16738.0,-4.3,0.0,89.7,1,0,0,0,1
30,30,2017-01-02 07:00:00,155.0,16738.0,-4.3,0.0,90.1,1,0,0,0,1
31,31,2017-01-02 08:00:00,153.0,16738.0,-4.2,0.0,89.9,1,0,0,0,1
32,32,2017-01-02 09:00:00,210.0,16738.0,-2.5,0.0,90.1,1,0,0,0,1
33,33,2017-01-02 10:00:00,196.0,16738.0,2.0,0.0,87.5,1,0,0,0,1
34,34,2017-01-02 11:00:00,273.0,16738.0,3.9,0.0,70.6,1,0,0,0,1
35,35,2017-01-02 12:00:00,177.0,16738.0,5.6,0.0,62.9,1,0,0,0,1
36,36,2017-01-02 13:00:00,123.0,16738.0,7.5,0.0,57.2,1,0,0,0,1
37,37,2017-01-02 14:00:00,372.0,16738.0,8.2,0.0,56.3,1,0,0,0,1
38,38,2017-01-02 15:00:00,385.0,16738.0,8.9,0.0,53.8,1,0,0,0,1
39,39,2017-01-02 16:00:00,232.0,16738.0,9.0,0.0,55.8,1,0,0,0,1
40,40,2017-01-02 17:00:00,125.0,16738.0,9.6,0.0,50.6,1,0,0,0,1
41,41,2017-01-02 18:00:00,136.0,16738.0,5.1,0.0,59.5,1,0,0,0,1
42,42,2017-01-02 19:00:00,351.0,16738.0,4.4,0.0,65.4,1,0,0,0,1
43,43,2017-01-02 20:00:00,252.0,16738.0,2.8,0.0,69.3,1,0,0,0,1
44,44,2017-01-02 21:00:00,308.0,16738.0,0.4,0.0,80.8,1,0,0,0,1
45,45,2017-01-02 22:00:00,159.0,16738.0,-0.3,0.0,83.5,1,0,0,0,1
46,46,2017-01-02 23:00:00,99.0,16738.0,-0.9,0.0,85.3,1,0,0,0,1
47,47,2017-01-03 00:00:00,65.0,16738.0,-1.1,0.0,87.3,1,0,0,0,1
48,48,2017-01-03 01:00:00,38.0,16738.0,-1.6,0.0,88.6,1,0,0,0,1
49,49,2017-01-03 02:00:00,78.0,16738.0,-1.1,0.0,86.5,1,0,0,0,1
50,50,2017-01-03 03:00:00,28.0,16738.0,1.6,0.0,70.9,1,0,0,0,1
51,51,2017-01-03 04:00:00,13.0,16738.0,0.8,0.0,73.9,1,0,0,0,1
52,52,2017-01-03 05:00:00,12.0,16738.0,-1.4,0.0,84.6,1,0,0,0,1
53,53,2017-01-03 06:00:00,63.0,16738.0,-2.9,0.0,88.3,1,0,0,0,1
54,54,2017-01-03 07:00:00,175.0,16738.0,-2.3,0.0,81.0,1,0,0,0,1
55,55,2017-01-03 08:00:00,421.0,16738.0,-3.7,0.0,87.3,1,0,0,0,1
56,56,2017-01-03 09:00:00,367.0,16738.0,-2.3,0.0,87.8,1,0,0,0,1
57,57,2017-01-03 10:00:00,386.0,16738.0,2.1,0.0,65.9,1,0,0,0,1
58,58,2017-01-03 11:00:00,369.0,16738.0,5.9,0.0,46.3,1,0,0,0,1
59,59,2017-01-03 12:00:00,119.0,16738.0,7.5,0.0,40.4,1,0,0,0,1
60,60,2017-01-03 13:00:00,228.0,16738.0,8.3,0.0,35.9,1,0,0,0,1
61,61,2017-01-03 14:00:00,256.0,16738.0,9.1,0.0,24.9,1,0,0,0,1
62,62,2017-01-03 15:00:00,73.0,16738.0,9.5,0.0,22.5,1,0,0,0,1
63,63,2017-01-03 16:00:00,61.0,16738.0,9.5,0.0,18.8,1,0,0,0,1
64,64,2017-01-03 17:00:00,149.0,16738.0,6.2,0.0,38.1,1,0,0,0,1
65,65,2017-01-03 18:00:00,128.0,16738.0,2.3,0.0,51.9,1,0,0,0,1
66,66,2017-01-03 19:00:00,149.0,16738.0,-0.1,0.0,57.7,1,0,0,0,1
67,67,2017-01-03 20:00:00,362.0,16738.0,-1.8,0.0,63.7,1,0,0,0,1
68,68,2017-01-03 21:00:00,430.0,16738.0,-2.8,0.0,66.7,1,0,0,0,1
69,69,2017-01-03 22:00:00,400.0,16738.0,-3.7,0.0,72.4,1,0,0,0,1
70,70,2017-01-03 23:00:00,250.0,16738.0,-4.1,0.0,75.3,1,0,0,0,1
71,71,2017-01-04 00:00:00,216.0,16738.0,-4.5,0.0,78.3,1,0,0,0,1
72,72,2017-01-04 01:00:00,140.0,16738.0,-5.1,0.0,81.1,1,0,0,0,1
73,73,2017-01-04 02:00:00,120.0,16738.0,-5.4,0.0,82.3,1,0,0,0,1
74,74,2017-01-04 03:00:00,67.0,16738.0,-5.6,0.0,82.3,1,0,0,0,1
75,75,2017-01-04 04:00:00,12.0,16738.0,-5.4,0.0,83.7,1,0,0,0,1
76,76,2017-01-04 05:00:00,12.0,16738.0,-5.4,0.0,84.0,1,0,0,0,1
77,77,2017-01-04 06:00:00,13.0,16738.0,-3.9,0.0,81.0,1,0,0,0,1
78,78,2017-01-04 07:00:00,16.0,16738.0,-2.8,0.0,75.8,1,0,0,0,1
79,79,2017-01-04 08:00:00,86.0,16738.0,-1.9,0.0,73.9,1,0,0,0,1
80,80,2017-01-04 09:00:00,448.0,16738.0,-0.5,0.0,68.1,1,0,0,0,1
81,81,2017-01-04 10:00:00,278.0,16738.0,1.4,0.0,61.7,1,0,0,0,1
82,82,2017-01-04 11:00:00,158.0,16738.0,7.1,0.0,53.6,1,0,0,0,1
83,83,2017-01-04 12:00:00,133.0,16738.0,8.8,0.0,49.1,1,0,0,0,1
84,84,2017-01-04 13:00:00,181.0,16738.0,9.3,0.0,45.9,1,0,0,0,1
85,85,2017-01-04 14:00:00,167.0,16738.0,10.2,0.0,41.1,1,0,0,0,1
86,86,2017-01-04 15:00:00,164.0,16738.0,9.6,0.0,35.6,1,0,0,0,1
87,87,2017-01-04 16:00:00,115.0,16738.0,9.8,0.0,32.2,1,0,0,0,1
88,88,2017-01-04 17:00:00,89.0,16738.0,8.4,0.0,27.3,1,0,0,0,1
89,89,2017-01-04 18:00:00,509.0,16738.0,2.9,0.0,50.2,1,0,0,0,1
90,90,2017-01-04 19:00:00,525.0,16738.0,0.3,0.0,58.2,1,0,0,0,1
91,91,2017-01-04 20:00:00,246.0,16738.0,-1.2,0.0,65.8,1,0,0,0,1
92,92,2017-01-04 21:00:00,145.0,16738.0,-2.2,0.0,70.2,1,0,0,0,1
93,93,2017-01-04 22:00:00,190.0,16738.0,-3.1,0.0,73.7,1,0,0,0,1
94,94,2017-01-04 23:00:00,337.0,16738.0,-3.7,0.0,76.9,1,0,0,0,1
95,95,2017-01-05 00:00:00,432.0,16738.0,-3.8,0.0,78.7,1,0,1,0,0
96,96,2017-01-05 01:00:00,141.0,16738.0,-4.0,0.0,79.8,1,0,1,0,0
97,97,2017-01-05 02:00:00,31.0,16738.0,-4.3,0.0,81.8,1,0,1,0,0
98,98,2017-01-05 03:00:00,111.0,16738.0,-4.5,0.0,83.4,1,0,1,0,0
99,99,2017-01-05 04:00:00,65.0,16738.0,-4.6,0.0,84.7,1,0,1,0,0
100,100,2017-01-05 05:00:00,13.0,16738.0,-4.7,0.0,85.7,1,0,1,0,0
101,101,2017-01-05 06:00:00,14.0,16738.0,-4.8,0.0,86.4,1,0,1,0,0
102,102,2017-01-05 07:00:00,15.0,16738.0,-4.6,0.0,86.6,1,0,1,0,0
103,103,2017-01-05 08:00:00,55.0,16738.0,-4.1,0.0,86.6,1,0,1,0,0
104,104,2017-01-05 09:00:00,161.0,16738.0,-2.5,0.0,82.8,1,0,1,0,0
105,105,2017-01-05 10:00:00,311.0,16738.0,0.3,0.0,70.9,1,0,1,0,0
106,106,2017-01-05 11:00:00,385.0,16738.0,2.7,0.0,57.4,1,0,1,0,0
107,107,2017-01-05 12:00:00,327.0,16738.0,4.9,0.0,48.8,1,0,1,0,0
108,108,2017-01-05 13:00:00,243.0,16738.0,6.5,0.0,50.2,1,0,1,0,0
109,109,2017-01-05 14:00:00,337.0,16738.0,6.2,0.0,52.8,1,0,1,0,0
110,110,2017-01-05 15:00:00,118.0,16738.0,6.4,0.0,53.1,1,0,1,0,0
111,111,2017-01-05 16:00:00,185.0,16738.0,6.2,0.0,54.6,1,0,1,0,0
112,112,2017-01-05 17:00:00,284.0,16738.0,5.1,0.0,59.3,1,0,1,0,0
