,index,population,temp,rain,hum,week_weekday,holiday,feel,warning,y,ds
0,2017-01-01 01:00:00,16738.0,-4.2,0.0,89.5,0,0,-3.3,not,138.0,2017-01-01 01:00:00
1,2017-01-01 02:00:00,16738.0,-4.0,0.0,89.7,0,0,-3.3,not,237.0,2017-01-01 02:00:00
2,2017-01-01 03:00:00,16738.0,-4.7,0.0,89.5,0,0,-3.3,not,128.0,2017-01-01 03:00:00
3,2017-01-01 04:00:00,16738.0,-5.2,0.0,89.2,0,0,-3.3,not,14.0,2017-01-01 04:00:00
4,2017-01-01 05:00:00,16738.0,-5.7,0.0,88.9,0,0,-3.3,not,11.0,2017-01-01 05:00:00
5,2017-01-01 06:00:00,16738.0,-6.0,0.0,88.4,0,0,-3.3,not,10.0,2017-01-01 06:00:00
6,2017-01-01 07:00:00,16738.0,-6.1,0.0,88.0,0,0,-3.3,not,11.0,2017-01-01 07:00:00
7,2017-01-01 08:00:00,16738.0,-5.7,0.0,88.0,0,0,-3.3,not,187.0,2017-01-01 08:00:00
8,2017-01-01 09:00:00,16738.0,-4.5,0.0,88.4,0,0,-3.3,not,392.0,2017-01-01 09:00:00
9,2017-01-01 10:00:00,16738.0,-2.6,0.0,88.1,0,0,-3.3,not,114.0,2017-01-01 10:00:00
10,2017-01-01 11:00:00,16738.0,0.3,0.0,86.3,0,0,-3.3,not,243.0,2017-01-01 11:00:00
11,2017-01-01 12:00:00,16738.0,4.7,0.0,65.3,0,0,-3.3,not,203.0,2017-01-01 12:00:00
12,2017-01-01 13:00:00,16738.0,7.6,0.0,49.7,0,0,-3.3,not,250.0,2017-01-01 13:00:00
13,2017-01-01 14:00:00,16738.0,9.4,0.0,43.7,0,0,-3.3,not,181.0,2017-01-01 14:00:00
14,2017-01-01 15:00:00,16738.0,9.9,0.0,43.3,0,0,-3.3,not,141.0,2017-01-01 15:00:00
15,2017-01-01 16:00:00,16738.0,9.4,0.0,44.2,0,0,-3.3,not,148.0,2017-01-01 16:00:00
16,2017-01-01 17:00:00,16738.0,6.3,0.0,52.2,0,0,-3.3,not,132.0,2017-01-01 17:00:00
17,2017-01-01 18:00:00,16738.0,2.9,0.0,63.6,0,0,-3.3,not,199.0,2017-01-01 18:00:00
18,2017-01-01 19:00:00,16738.0,0.3,0.0,75.3,0,0,-3.3,not,202.0,2017-01-01 19:00:00
19,2017-01-01 20:00:00,16738.0,-0.5,0.0,79.8,0,0,-3.3,not,245.0,2017-01-01 20:00:00
20,2017-01-01 21:00:00,16738.0,-1.8,0.0,84.6,0,0,-3.3,not,308.0,2017-01-01 21:00:00
21,2017-01-01 22:00:00,16738.0,-2.6,0.0,87.1,0,0,-3.3,not,152.0,2017-01-01 22:00:00
22,2017-01-01 23:00:00,16738.0,-2.8,0.0,88.7,0,0,-3.3,not,197.0,2017-01-01 23:00:00
23,2017-01-02 00:00:00,16738.0,-3.3,0.0,89.2,1,0,-3.4,not,175.0,2017-01-02 00:00:00
24,2017-01-02 01:00:00,16738.0,-3.8,0.0,89.8,1,0,-3.4,not,266.0,2017-01-02 01:00:00
25,2017-01-02 02:00:00,16738.0,-4.3,0.0,89.4,1,0,-3.4,not,113.0,2017-01-02 02:00:00
26,2017-01-02 03:00:00,16738.0,-3.5,0.0,90.1,1,0,-3.4,not,51.0,2017-01-02 03:00:00
27,2017-01-02 04:00:00,16738.0,-3.7,0.0,90.0,1,0,-3.4,not,10.0,2017-01-02 04:00:00
28,2017-01-02 05:00:00,16738.0,-3.7,0.0,89.9,1,0,-3.4,not,11.0,2017-01-02 05:00:00
29,2017-01-02 06:00:00,16738.0,-4.3,0.0,89.7,1,0,-3.4,not,12.0,2017-01-02 06:00:00
30,2017-01-02 07:00:00,16738.0,-4.3,0.0,90.1,1,0,-3.4,not,155.0,2017-01-02 07:00:00
31,2017-01-02 08:00:00,16738.0,-4.2,0.0,89.9,1,0,-3.4,not,153.0,2017-01-02 08:00:00
32,2017-01-02 09:00:00,16738.0,-2.5,0.0,90.1,1,0,-3.4,not,210.0,2017-01-02 09:00:00
33,2017-01-02 10:00:00,16738.0,2.0,0.0,87.5,1,0,-3.4,not,196.0,2017-01-02 10:00:00
34,2017-01-02 11:00:00,16738.0,3.9,0.0,70.6,1,0,-3.4,not,273.0,2017-01-02 11:00:00
35,2017-01-02 12:00:00,16738.0,5.6,0.0,62.9,1,0,-3.4,not,177.0,2017-01-02 12:00:00
36,2017-01-02 13:00:00,16738.0,7.5,0.0,57.2,1,0,-3.4,not,123.0,2017-01-02 13:00:00
37,2017-01-02 14:00:00,16738.0,8.2,0.0,56.3,1,0,-3.4,not,372.0,2017-01-02 14:00:00
38,2017-01-02 15:00:00,16738.0,8.9,0.0,53.8,1,0,-3.4,not,385.0,2017-01-02 15:00:00
39,2017-01-02 16:00:00,16738.0,9.0,0.0,55.8,1,0,-3.4,not,232.0,2017-01-02 16:00:00
40,2017-01-02 17:00:00,16738.0,9.6,0.0,50.6,1,0,-3.4,not,125.0,2017-01-02 17:00:00
41,2017-01-02 18:00:00,16738.0,5.1,0.0,59.5,1,0,-3.4,not,136.0,2017-01-02 18:00:00
42,2017-01-02 19:00:00,16738.0,4.4,0.0,65.4,1,0,-3.4,not,351.0,2017-01-02 19:00:00
43,2017-01-02 20:00:00,16738.0,2.8,0.0,69.3,1,0,-3.4,not,252.0,2017-01-02 20:00:00
44,2017-01-02 21:00:00,16738.0,0.4,0.0,80.8,1,0,-3.4,not,308.0,2017-01-02 21:00:00
45,2017-01-02 22:00:00,16738.0,-0.3,0.0,83.5,1,0,-3.4,not,159.0,2017-01-02 22:00:00
46,2017-01-02 23:00:00,16738.0,-0.9,0.0,85.3,1,0,-3.4,not,99.0,2017-01-02 23:00:00
47,2017-01-03 00:00:00,16738.0,-1.1,0.0,87.3,1,0,-1.3,not,65.0,2017-01-03 00:00:00
48,2017-01-03 01:00:00,16738.0,-1.6,0.0,88.6,1,0,-1.3,not,38.0,2017-01-03 01:00:00
49,2017-01-03 02:00:00,16738.0,-1.1,0.0,86.5,1,0,-1.3,not,78.0,2017-01-03 02:00:00
50,2017-01-03 03:00:00,16738.0,1.6,0.0,70.9,1,0,-1.3,not,28.0,2017-01-03 03:00:00
51,2017-01-03 04:00:00,16738.0,0.8,0.0,73.9,1,0,-1.3,not,13.0,2017-01-03 04:00:00
52,2017-01-03 05:00:00,16738.0,-1.4,0.0,84.6,1,0,-1.3,not,12.0,2017-01-03 05:00:00
53,2017-01-03 06:00:00,16738.0,-2.9,0.0,88.3,1,0,-1.3,not,63.0,2017-01-03 06:00:00
54,2017-01-03 07:00:00,16738.0,-2.3,0.0,81.0,1,0,-1.3,not,175.0,2017-01-03 07:00:00
55,2017-01-03 08:00:00,16738.0,-3.7,0.0,87.3,1,0,-1.3,not,421.0,2017-01-03 08:00:00
56,2017-01-03 09:00:00,16738.0,-2.3,0.0,87.8,1,0,-1.3,not,367.0,2017-01-03 09:00:00
57,2017-01-03 10:00:00,16738.0,2.1,0.0,65.9,1,0,-1.3,not,386.0,2017-01-03 10:00:00
58,2017-01-03 11:00:00,16738.0,5.9,0.0,46.3,1,0,-1.3,not,369.0,2017-01-03 11:00:00
59,2017-01-03 12:00:00,16738.0,7.5,0.0,40.4,1,0,-1.3,not,119.0,2017-01-03 12:00:00
60,2017-01-03 13:00:00,16738.0,8.3,0.0,35.9,1,0,-1.3,not,228.0,2017-01-03 13:00:00
